Blackbox_Sentinel/ml/traffic.csvtimestamp,packets_per_sec,avg_packet_size,max_packet_size,min_packet_size,tcp_count,udp_count,icmp_count,unique_src_ips,unique_dst_ips,syn_count,ack_count,fin_count,rst_count,psh_count,urg_count,syn_ratio,ack_ratio,fin_ratio,rst_ratio,psh_ratio,urg_ratio
2026-08-04T00:03:57.317691,521,962.62,4073,54,232,286,0,13,13,1,232,0,0,113,0,0.0043,1.0,0.0,0.0,0.4871,0.0
2026-08-04T00:03:59.501724,561,655.11,1690,54,6,553,0,13,13,0,6,0,0,4,0,0.0,1.0,0.0,0.0,0.6667,0.0
2026-08-04T00:04:01.528151,20,349.05,1292,56,0,16,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:04:03.630091,1032,943.1,20494,42,341,602,0,24,24,14,334,1,1,170,0,0.0411,0.9795,0.0029,0.0029,0.4985,0.0
2026-08-04T00:04:05.739030,448,724.0,8814,54,209,227,0,17,18,1,208,0,0,106,0,0.0048,0.9952,0.0,0.0,0.5072,0.0
2026-08-04T00:04:07.820609,428,986.48,1296,42,3,417,0,9,9,0,3,0,0,2,0,0.0,1.0,0.0,0.0,0.6667,0.0
2026-08-04T00:04:09.916477,642,718.76,1296,56,0,634,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:04:12.040065,591,559.07,1296,54,75,511,0,36,50,0,75,57,2,0,0,0.0,1.0,0.76,0.0267,0.0,0.0
2026-08-04T00:04:14.128675,442,663.69,11542,54,29,411,0,15,15,2,28,0,0,13,0,0.069,0.9655,0.0,0.0,0.4483,0.0
2026-08-04T00:04:16.151993,117,716.2,1296,56,0,114,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:04:18.198061,277,547.45,7118,54,60,216,0,12,12,4,58,2,1,29,0,0.0667,0.9667,0.0333,0.0167,0.4833,0.0
2026-08-04T00:04:20.319282,761,721.77,2974,54,27,732,0,10,11,6,24,0,0,11,0,0.2222,0.8889,0.0,0.0,0.4074,0.0
2026-08-04T00:04:22.488989,795,697.19,5898,54,249,545,0,17,20,5,245,0,0,62,0,0.0201,0.9839,0.0,0.0,0.249,0.0
2026-08-04T00:04:24.615240,889,741.48,7258,54,196,689,0,14,13,5,195,0,0,51,0,0.0255,0.9949,0.0,0.0,0.2602,0.0
2026-08-04T00:04:26.730049,741,836.84,14554,54,72,668,0,14,13,7,68,0,0,23,0,0.0972,0.9444,0.0,0.0,0.3194,0.0
2026-08-04T00:04:28.849278,673,972.22,20498,54,190,482,0,15,15,6,187,0,0,94,0,0.0316,0.9842,0.0,0.0,0.4947,0.0
2026-08-04T00:04:30.985209,1225,1006.55,30298,42,873,351,0,16,15,16,865,8,4,231,0,0.0183,0.9908,0.0092,0.0046,0.2646,0.0
2026-08-04T00:04:33.090143,504,807.49,26338,42,146,357,0,21,21,8,143,0,0,75,0,0.0548,0.9795,0.0,0.0,0.5137,0.0
2026-08-04T00:04:35.405719,77,1189.18,28854,54,29,46,0,9,8,1,29,0,0,10,0,0.0345,1.0,0.0,0.0,0.3448,0.0
2026-08-04T00:04:37.427140,77,494.26,6336,54,39,35,0,8,10,4,37,1,0,13,0,0.1026,0.9487,0.0256,0.0,0.3333,0.0
2026-08-04T00:04:39.495594,854,818.06,11738,54,256,598,0,16,22,22,241,1,0,85,0,0.0859,0.9414,0.0039,0.0,0.332,0.0
2026-08-04T00:04:41.633890,1385,1088.26,7258,54,1366,19,0,14,14,7,1364,0,0,406,0,0.0051,0.9985,0.0,0.0,0.2972,0.0
2026-08-04T00:04:43.655963,10,207.3,718,55,3,6,0,6,5,1,3,0,0,0,0,0.3333,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:04:45.750026,360,1326.74,24878,54,297,62,0,12,12,5,294,0,0,133,0,0.0168,0.9899,0.0,0.0,0.4478,0.0
2026-08-04T00:04:47.822358,423,1385.71,20218,54,394,29,0,9,9,0,394,0,0,104,0,0.0,1.0,0.0,0.0,0.264,0.0
2026-08-04T00:04:49.876893,215,469.75,5678,54,142,72,0,13,14,12,136,15,6,68,0,0.0845,0.9577,0.1056,0.0423,0.4789,0.0
2026-08-04T00:04:52.008131,328,902.0,4434,54,59,267,0,10,13,5,55,0,0,26,0,0.0847,0.9322,0.0,0.0,0.4407,0.0
2026-08-04T00:04:54.040248,244,988.06,29258,54,149,93,0,10,10,17,141,0,0,62,0,0.1141,0.9463,0.0,0.0,0.4161,0.0
2026-08-04T00:04:56.054960,34,353.24,2978,54,16,17,0,6,5,2,15,0,0,8,0,0.125,0.9375,0.0,0.0,0.5,0.0
2026-08-04T00:04:58.167566,254,920.41,1292,55,9,244,0,9,9,0,9,0,0,2,0,0.0,1.0,0.0,0.0,0.2222,0.0
2026-08-04T00:05:00.275730,82,649.5,1292,54,13,65,0,11,10,0,13,1,0,6,0,0.0,1.0,0.0769,0.0,0.4615,0.0
2026-08-04T00:05:02.341115,537,1128.47,38018,54,433,99,0,11,12,1,432,2,0,167,0,0.0023,0.9977,0.0046,0.0,0.3857,0.0
2026-08-04T00:05:04.528787,1076,1445.19,23418,42,1025,39,0,21,21,1,1025,0,0,480,0,0.001,1.0,0.0,0.0,0.4683,0.0
2026-08-04T00:05:06.613128,787,1384.2,42398,42,765,15,0,13,13,0,765,2,0,294,0,0.0,1.0,0.0026,0.0,0.3843,0.0
2026-08-04T00:05:08.760560,1268,1153.65,8698,54,1210,45,0,10,10,0,1210,0,0,371,0,0.0,1.0,0.0,0.0,0.3066,0.0
2026-08-04T00:05:10.812801,46,194.46,1292,55,26,14,0,10,10,0,26,0,0,5,0,0.0,1.0,0.0,0.0,0.1923,0.0
2026-08-04T00:05:12.833955,88,422.2,1292,54,8,76,0,11,10,0,8,2,0,1,0,0.0,1.0,0.25,0.0,0.125,0.0
2026-08-04T00:05:14.916656,31,171.65,1292,55,10,16,0,7,7,0,10,0,0,2,0,0.0,1.0,0.0,0.0,0.2,0.0
2026-08-04T00:05:16.952139,41,86.24,488,54,29,5,0,17,17,0,29,1,0,3,0,0.0,1.0,0.0345,0.0,0.1034,0.0
2026-08-04T00:05:19.004504,59,448.58,10172,54,47,3,0,11,12,2,46,2,0,13,0,0.0426,0.9787,0.0426,0.0,0.2766,0.0
2026-08-04T00:05:21.075683,223,1060.85,1292,54,4,215,0,7,6,0,4,0,0,1,0,0.0,1.0,0.0,0.0,0.25,0.0
2026-08-04T00:05:23.097773,52,232.67,1376,54,26,20,0,11,11,0,26,5,0,8,0,0.0,1.0,0.1923,0.0,0.3077,0.0
2026-08-04T00:05:25.126230,58,331.02,8487,54,40,13,0,11,11,0,40,7,0,14,0,0.0,1.0,0.175,0.0,0.35,0.0
2026-08-04T00:05:27.143947,20,164.5,718,55,2,14,0,6,5,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:05:29.247386,59,269.44,2650,54,39,17,0,12,10,0,39,10,8,6,0,0.0,1.0,0.2564,0.2051,0.1538,0.0
2026-08-04T00:05:31.317824,443,889.87,5898,54,331,105,0,13,13,0,331,7,0,75,0,0.0,1.0,0.0211,0.0,0.2266,0.0
2026-08-04T00:05:33.372969,161,1309.53,14458,54,140,15,0,11,9,0,140,0,0,75,0,0.0,1.0,0.0,0.0,0.5357,0.0
2026-08-04T00:05:35.384856,31,247.9,1292,54,5,22,0,8,6,0,5,0,0,3,0,0.0,1.0,0.0,0.0,0.6,0.0
2026-08-04T00:05:37.439376,111,716.43,7358,54,38,67,0,15,12,0,38,0,0,19,0,0.0,1.0,0.0,0.0,0.5,0.0
2026-08-04T00:05:39.492478,210,540.72,5898,54,77,128,0,16,15,0,77,2,1,38,0,0.0,1.0,0.026,0.013,0.4935,0.0
2026-08-04T00:05:41.539696,130,1226.57,8818,54,102,25,0,14,11,0,102,4,0,46,0,0.0,1.0,0.0392,0.0,0.451,0.0
2026-08-04T00:05:43.616589,231,1254.41,13018,54,178,50,0,15,14,0,178,0,0,80,0,0.0,1.0,0.0,0.0,0.4494,0.0
2026-08-04T00:05:45.655577,80,778.21,4438,42,27,48,0,11,9,0,27,2,0,12,0,0.0,1.0,0.0741,0.0,0.4444,0.0
2026-08-04T00:05:47.732674,284,1371.58,13018,54,242,40,0,14,12,0,242,2,2,111,0,0.0,1.0,0.0083,0.0083,0.4587,0.0
2026-08-04T00:05:49.859900,619,1142.04,20218,54,605,11,0,14,11,1,605,3,1,131,0,0.0017,1.0,0.005,0.0017,0.2165,0.0
2026-08-04T00:05:51.999914,600,1167.5,13018,54,587,8,0,12,12,0,587,0,0,172,0,0.0,1.0,0.0,0.0,0.293,0.0
2026-08-04T00:05:54.073674,104,524.41,16460,54,53,43,0,13,13,0,53,0,0,24,0,0.0,1.0,0.0,0.0,0.4528,0.0
2026-08-04T00:05:56.170252,10,57.3,70,55,2,0,0,2,2,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:05:58.224429,21,135.1,490,55,7,8,0,8,6,0,7,0,0,2,0,0.0,1.0,0.0,0.0,0.2857,0.0
2026-08-04T00:06:00.265661,10,84.7,178,55,2,4,0,4,4,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:06:02.278428,26,86.96,303,55,14,4,0,10,10,0,14,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:06:04.295504,94,361.87,2650,42,19,60,0,10,11,0,19,0,0,9,0,0.0,1.0,0.0,0.0,0.4737,0.0
2026-08-04T00:06:06.309004,16,90.81,457,56,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:06:08.324688,17,76.65,212,55,6,2,0,5,4,0,6,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:06:10.338643,11,106.55,212,56,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:06:12.357968,25,204.4,1292,54,4,15,0,4,6,0,4,0,2,0,0,0.0,1.0,0.0,0.5,0.0,0.0
2026-08-04T00:06:14.473603,869,1432.65,14458,54,829,36,0,8,8,0,829,0,0,279,0,0.0,1.0,0.0,0.0,0.3366,0.0
2026-08-04T00:06:16.520813,382,914.66,16118,54,284,91,0,12,12,2,283,0,0,119,0,0.007,0.9965,0.0,0.0,0.419,0.0
2026-08-04T00:06:18.578257,71,730.94,2978,54,50,16,0,9,8,0,50,2,1,28,0,0.0,1.0,0.04,0.02,0.56,0.0
2026-08-04T00:06:20.696178,72,1142.46,5898,54,67,2,0,4,4,0,67,2,0,35,0,0.0,1.0,0.0299,0.0,0.5224,0.0
2026-08-04T00:06:22.902474,840,1198.12,14658,54,800,39,0,11,11,1,800,0,0,272,0,0.0013,1.0,0.0,0.0,0.34,0.0
2026-08-04T00:06:25.043535,1510,1010.22,8488,54,1458,50,0,13,12,0,1458,0,0,380,0,0.0,1.0,0.0,0.0,0.2606,0.0
2026-08-04T00:06:27.170518,1376,1086.33,8818,54,1370,4,0,9,9,0,1370,2,0,366,0,0.0,1.0,0.0015,0.0,0.2672,0.0
2026-08-04T00:06:29.284253,475,1115.11,5898,54,472,1,0,6,6,0,472,2,0,122,0,0.0,1.0,0.0042,0.0,0.2585,0.0
2026-08-04T00:06:31.308854,25,2746.4,14654,42,21,1,0,3,3,0,21,0,0,10,0,0.0,1.0,0.0,0.0,0.4762,0.0
2026-08-04T00:06:33.351971,59,1243.24,20494,42,49,6,0,12,12,0,49,8,0,16,0,0.0,1.0,0.1633,0.0,0.3265,0.0
2026-08-04T00:06:35.375263,12,135.25,471,55,8,2,0,6,5,0,8,0,0,4,0,0.0,1.0,0.0,0.0,0.5,0.0
2026-08-04T00:06:37.390836,12,157.42,508,55,4,7,0,6,5,0,4,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:06:39.428538,24,175.75,1376,54,20,3,0,5,8,0,20,6,3,5,0,0.0,1.0,0.3,0.15,0.25,0.0
2026-08-04T00:06:41.483400,32,220.22,932,55,8,23,0,7,7,0,8,0,0,3,0,0.0,1.0,0.0,0.0,0.375,0.0
2026-08-04T00:06:43.492206,17,171.59,1288,54,9,6,0,6,6,0,9,2,1,1,0,0.0,1.0,0.2222,0.1111,0.1111,0.0
2026-08-04T00:06:45.506170,10,188.9,1222,55,4,2,0,4,4,0,4,0,0,1,0,0.0,1.0,0.0,0.0,0.25,0.0
2026-08-04T00:06:47.529378,17,75.65,139,55,12,4,0,9,8,0,12,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:06:49.584840,51,390.57,8622,54,35,13,0,8,9,2,34,0,0,14,0,0.0571,0.9714,0.0,0.0,0.4,0.0
2026-08-04T00:06:51.610095,20,194.65,1376,54,10,5,0,6,6,0,10,2,1,4,0,0.0,1.0,0.2,0.1,0.4,0.0
2026-08-04T00:06:53.643446,52,645.02,16460,54,19,30,0,7,8,0,19,0,0,6,0,0.0,1.0,0.0,0.0,0.3158,0.0
2026-08-04T00:06:55.657386,9,220.67,1222,56,2,2,0,3,3,0,2,0,0,1,0,0.0,1.0,0.0,0.0,0.5,0.0
2026-08-04T00:06:57.671779,13,82.38,123,55,2,6,0,4,3,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:06:59.696499,32,151.16,1292,55,9,20,0,9,9,0,9,0,0,2,0,0.0,1.0,0.0,0.0,0.2222,0.0
2026-08-04T00:07:01.711494,32,153.94,1377,54,16,9,0,7,6,0,16,2,0,7,0,0.0,1.0,0.125,0.0,0.4375,0.0
2026-08-04T00:07:03.741257,126,88.93,1286,42,13,18,0,9,6,0,13,5,0,2,0,0.0,1.0,0.3846,0.0,0.1538,0.0
2026-08-04T00:07:05.798368,18,113.94,432,55,1,6,0,3,2,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:07:07.821403,25,135.8,1884,42,14,2,0,6,7,1,14,2,0,2,0,0.0714,1.0,0.1429,0.0,0.1429,0.0
2026-08-04T00:07:09.845068,18,60.0,82,42,8,0,0,3,3,0,8,2,0,3,0,0.0,1.0,0.25,0.0,0.375,0.0
2026-08-04T00:07:11.947752,61,336.74,1296,54,22,30,0,9,9,0,22,0,0,9,0,0.0,1.0,0.0,0.0,0.4091,0.0
2026-08-04T00:07:13.972563,67,450.24,5898,54,26,36,0,9,8,0,26,0,0,12,0,0.0,1.0,0.0,0.0,0.4615,0.0
2026-08-04T00:07:15.997899,152,755.09,1376,54,5,139,0,6,6,0,5,0,0,3,0,0.0,1.0,0.0,0.0,0.6,0.0
2026-08-04T00:07:18.026784,329,693.45,4438,54,28,297,0,9,9,0,28,0,0,14,0,0.0,1.0,0.0,0.0,0.5,0.0
2026-08-04T00:07:20.175901,1227,686.9,8487,54,94,1129,0,14,14,3,92,0,0,21,0,0.0319,0.9787,0.0,0.0,0.2234,0.0
2026-08-04T00:07:22.330995,738,668.49,5898,54,379,355,0,23,21,6,377,0,0,176,0,0.0158,0.9947,0.0,0.0,0.4644,0.0
2026-08-04T00:07:24.476438,675,684.94,2970,54,21,651,0,12,12,2,21,0,0,9,0,0.0952,1.0,0.0,0.0,0.4286,0.0
2026-08-04T00:07:26.556146,356,693.96,2570,54,45,310,0,17,20,3,43,0,0,16,0,0.0667,0.9556,0.0,0.0,0.3556,0.0
2026-08-04T00:07:28.710291,734,689.09,2898,54,138,594,0,18,19,16,131,3,1,58,0,0.1159,0.9493,0.0217,0.0072,0.4203,0.0
2026-08-04T00:07:30.828807,598,624.22,5718,54,291,305,0,37,35,11,286,9,2,143,0,0.0378,0.9828,0.0309,0.0069,0.4914,0.0
2026-08-04T00:07:32.911456,335,411.52,5818,54,157,176,0,21,22,7,153,2,0,82,0,0.0446,0.9745,0.0127,0.0,0.5223,0.0
2026-08-04T00:07:35.140448,1247,1172.27,14214,54,994,247,0,15,16,4,992,2,0,410,0,0.004,0.998,0.002,0.0,0.4125,0.0
2026-08-04T00:07:37.254113,42,224.1,2898,54,25,10,0,6,5,0,25,1,0,13,0,0.0,1.0,0.04,0.0,0.52,0.0
2026-08-04T00:07:39.308936,80,352.52,3627,54,75,2,0,6,7,3,75,0,0,40,0,0.04,1.0,0.0,0.0,0.5333,0.0
2026-08-04T00:07:41.339865,35,235.14,2251,54,20,8,0,7,5,2,20,0,0,11,0,0.1,1.0,0.0,0.0,0.55,0.0
2026-08-04T00:07:43.358275,30,231.43,2306,56,15,9,0,4,5,0,15,0,0,9,0,0.0,1.0,0.0,0.0,0.6,0.0
2026-08-04T00:07:45.433052,63,318.59,1296,42,32,22,0,5,5,0,32,0,0,17,0,0.0,1.0,0.0,0.0,0.5312,0.0
2026-08-04T00:07:47.482302,66,504.48,2974,54,56,5,0,7,6,0,56,0,0,33,0,0.0,1.0,0.0,0.0,0.5893,0.0
2026-08-04T00:07:49.525916,30,132.13,471,56,7,14,0,7,6,0,7,0,0,4,0,0.0,1.0,0.0,0.0,0.5714,0.0
2026-08-04T00:07:51.546073,37,403.46,9171,54,29,3,0,6,7,0,29,5,0,11,0,0.0,1.0,0.1724,0.0,0.3793,0.0
2026-08-04T00:07:53.623915,27,117.04,1286,55,10,11,0,7,6,0,10,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:07:55.677742,73,317.4,1569,54,36,28,0,6,7,0,36,0,0,22,0,0.0,1.0,0.0,0.0,0.6111,0.0
2026-08-04T00:07:57.690519,5,56.0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:07:59.718963,426,859.56,2650,54,17,406,0,10,10,0,17,0,0,8,0,0.0,1.0,0.0,0.0,0.4706,0.0
2026-08-04T00:08:01.742858,281,612.16,1278,54,6,267,0,9,8,0,6,1,0,3,0,0.0,1.0,0.1667,0.0,0.5,0.0
2026-08-04T00:08:03.797883,654,980.53,29258,42,176,401,0,18,26,12,167,2,2,48,0,0.0682,0.9489,0.0114,0.0114,0.2727,0.0
2026-08-04T00:08:05.832532,323,1116.34,5898,54,261,48,0,17,16,0,261,0,0,90,0,0.0,1.0,0.0,0.0,0.3448,0.0
2026-08-04T00:08:07.958366,708,975.92,64122,42,260,441,0,29,30,4,258,0,0,94,0,0.0154,0.9923,0.0,0.0,0.3615,0.0
2026-08-04T00:08:10.017781,612,462.13,6956,54,129,473,0,38,37,4,127,1,0,62,0,0.031,0.9845,0.0078,0.0,0.4806,0.0
2026-08-04T00:08:12.147317,488,951.98,49562,54,200,283,0,26,29,11,194,4,2,82,0,0.055,0.97,0.02,0.01,0.41,0.0
2026-08-04T00:08:14.255532,420,460.22,2068,54,101,316,0,37,38,1,98,0,2,47,0,0.0099,0.9703,0.0,0.0198,0.4653,0.0
2026-08-04T00:08:16.338037,1061,733.16,2974,54,73,983,0,34,33,5,69,6,2,32,0,0.0685,0.9452,0.0822,0.0274,0.4384,0.0
2026-08-04T00:08:18.447504,314,926.7,21954,54,197,111,0,27,28,10,191,6,1,83,0,0.0508,0.9695,0.0305,0.0051,0.4213,0.0
2026-08-04T00:08:20.549721,443,712.53,16460,54,326,113,0,28,29,9,322,8,0,120,0,0.0276,0.9877,0.0245,0.0,0.3681,0.0
2026-08-04T00:08:22.600718,151,334.74,2648,54,46,102,0,21,16,2,46,4,0,16,0,0.0435,1.0,0.087,0.0,0.3478,0.0
2026-08-04T00:08:24.667300,362,886.59,2190,54,57,300,0,16,16,2,56,10,1,23,0,0.0351,0.9825,0.1754,0.0175,0.4035,0.0
2026-08-04T00:08:26.687987,30,79.17,167,54,22,6,0,9,8,0,22,8,0,7,0,0.0,1.0,0.3636,0.0,0.3182,0.0
2026-08-04T00:08:28.756662,80,204.2,1518,54,41,31,0,16,15,0,41,7,0,17,0,0.0,1.0,0.1707,0.0,0.4146,0.0
2026-08-04T00:08:30.799517,119,229.54,2222,54,63,53,0,22,19,2,62,15,6,18,0,0.0317,0.9841,0.2381,0.0952,0.2857,0.0
2026-08-04T00:08:32.857359,112,358.88,4378,42,66,41,0,18,14,2,65,8,1,27,0,0.0303,0.9848,0.1212,0.0152,0.4091,0.0
2026-08-04T00:08:34.874651,62,233.26,2248,54,34,25,0,12,10,2,33,1,1,18,0,0.0588,0.9706,0.0294,0.0294,0.5294,0.0
2026-08-04T00:08:37.051485,442,488.43,5898,54,91,344,0,25,23,4,89,0,0,48,0,0.044,0.978,0.0,0.0,0.5275,0.0
2026-08-04T00:08:39.136208,234,515.79,1498,54,37,194,0,12,12,0,37,5,0,13,0,0.0,1.0,0.1351,0.0,0.3514,0.0
2026-08-04T00:08:41.160060,48,157.88,1334,54,39,6,0,11,9,1,39,4,0,17,0,0.0256,1.0,0.1026,0.0,0.4359,0.0
2026-08-04T00:08:43.218623,19,196.53,1151,56,0,16,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:08:45.304794,988,762.46,2247,54,72,912,0,22,22,2,71,0,0,39,0,0.0278,0.9861,0.0,0.0,0.5417,0.0
2026-08-04T00:08:47.384164,775,879.58,1296,54,27,744,0,12,13,0,27,7,0,9,0,0.0,1.0,0.2593,0.0,0.3333,0.0
2026-08-04T00:08:49.412995,197,175.9,2015,54,74,119,0,22,23,2,73,8,6,22,0,0.027,0.9865,0.1081,0.0811,0.2973,0.0
2026-08-04T00:08:51.501263,873,736.45,16118,54,105,764,0,24,25,0,105,2,0,48,0,0.0,1.0,0.019,0.0,0.4571,0.0
2026-08-04T00:08:53.645988,921,1060.64,26266,54,221,698,0,19,19,4,219,0,0,85,0,0.0181,0.991,0.0,0.0,0.3846,0.0
2026-08-04T00:08:55.778665,824,809.96,7135,54,226,593,0,25,24,9,223,9,5,93,0,0.0398,0.9867,0.0398,0.0221,0.4115,0.0
2026-08-04T00:08:57.828924,38,708.97,16460,54,32,4,0,11,11,1,32,0,0,11,0,0.0312,1.0,0.0,0.0,0.3438,0.0
2026-08-04T00:08:59.875157,52,224.44,2272,42,25,24,0,13,13,0,25,0,0,6,0,0.0,1.0,0.0,0.0,0.24,0.0
2026-08-04T00:09:01.971979,22,76.91,178,55,12,4,0,9,9,0,12,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
2026-08-04T00:09:03.994401,193,384.48,5262,42,90,61,0,26,33,1,89,2,0,41,0,0.0111,0.9889,0.0222,0.0,0.4556,0.0
2026-08-04T00:09:06.030721,139,657.06,1296,42,23,106,0,13,12,0,23,0,0,9,0,0.0,1.0,0.0,0.0,0.3913,0.0
2026-08-04T00:09:08.069604,30,82.7,457,42,18,4,0,7,6,0,18,5,1,5,0,0.0,1.0,0.2778,0.0556,0.2778,0.0
2026-08-04T00:09:10.124688,286,971.13,1292,56,0,278,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
